Q001,Q002,Q006,Q025,Q027,NU_NOTA_MT
E,E,E,B,B,457.6
D,E,B,B,A,399.6
D,D,I,B,E,885.4
B,B,C,B,A,601.2
G,G,N,B,D,694.2
G,G,Q,B,D,764.5
F,E,L,B,B,698.7
D,C,H,B,D,528.5
B,E,D,B,A,552.3
C,D,B,B,A,419.6
E,G,H,B,A,713.9
G,G,N,B,D,779.5
G,D,O,B,D,626.1
B,F,E,B,A,565.9
C,E,F,B,D,672.6
E,D,H,B,A,573.3
C,C,H,B,C,599.5
E,F,G,B,B,552.6
B,E,G,B,A,516
B,E,E,B,A,401.3
E,F,N,B,C,658.2
F,E,N,B,D,663.3
C,C,C,A,A,555.5
G,F,Q,B,D,685.3
F,C,O,B,D,601.3
E,E,H,B,A,574.8
C,E,C,A,A,607.6
B,E,G,B,A,654.4
G,G,Q,B,D,744
B,D,E,B,A,516.5
G,G,O,B,D,723.5
B,E,G,B,A,622.4
E,E,C,B,A,522.1
E,E,B,B,A,543.9
D,D,G,B,C,527.1
G,G,M,B,A,589.8
F,F,P,B,D,555.9
F,E,I,B,B,527.7
G,E,G,B,D,404.2
G,F,Q,B,D,696.3
F,F,K,B,E,892.8
F,D,G,B,A,520.2
E,E,G,B,A,524.7
E,D,J,B,A,519.9
E,E,C,A,A,481.2
C,E,E,B,A,488.3
G,G,L,B,D,949
E,E,D,B,D,682.3
G,G,P,B,D,703.8
B,B,C,B,A,587.2
F,E,N,B,E,925.9
C,F,F,B,C,851.9
F,G,J,B,D,822.7
E,E,D,A,A,468.7
E,C,D,A,A,576.2
F,F,I,B,D,675.3
E,F,J,B,D,715.6
F,F,H,B,D,739.9
E,C,G,B,D,669.9
E,F,M,B,D,719
E,F,C,B,B,615
F,E,H,B,D,528.8
E,E,E,B,B,723.9
B,D,C,B,A,513.9
E,F,M,B,D,732.3
C,E,G,B,A,594.7
E,E,E,B,A,469.2
B,F,C,B,A,476.2
E,D,C,B,A,623.7
E,C,C,B,A,507.7
F,E,C,B,A,574.9
E,E,B,B,A,601.5
C,B,C,B,A,478
E,D,B,A,A,438.5
C,C,G,B,A,693.3
B,E,B,A,A,393.5
E,E,G,B,B,681.1
F,G,P,B,D,735.9
E,E,C,B,A,548.8
F,E,E,B,D,613.2
F,F,O,B,D,584.1
D,C,C,B,A,617.5
C,E,D,B,A,476.8
G,G,P,B,D,804.9
A,B,C,B,A,453.3
E,E,J,B,D,522.5
B,B,B,B,A,538.6
F,F,G,B,D,632.7
C,E,F,B,D,547
F,E,M,B,B,643.3
E,F,N,B,D,737.3
E,F,D,B,D,722.8
C,D,F,B,A,708.7
E,D,C,B,C,577.6
G,G,O,B,E,706
B,E,D,A,A,562.5
D,E,C,B,A,626.5
F,G,Q,B,D,724.6
B,F,J,B,B,691.9
G,G,O,B,D,686.1
C,C,B,B,A,553.4
C,E,D,B,A,484.9
E,F,M,B,A,671.4
F,F,P,B,D,547.5
E,G,G,B,E,643.7
G,F,Q,B,D,741.2
D,D,F,B,B,718.4
G,E,G,B,A,741.8
C,D,B,B,A,440.3
E,E,F,B,A,394
E,E,C,B,A,567.7
D,E,B,B,A,388.8
E,E,H,B,D,771.8
F,F,P,B,D,642.7
B,C,C,B,A,519
F,E,J,B,D,662.3
G,E,P,B,D,843
B,D,C,B,C,431.6
C,E,C,B,A,669.2
A,B,C,B,A,401.9
F,F,L,B,D,555.3
D,D,H,B,A,514.8
D,F,E,B,A,573.1
D,C,C,B,A,564.4
E,E,L,B,A,505.1
E,G,P,B,D,666.9
F,F,G,B,D,608.8
D,D,B,B,A,601.6
E,F,H,B,A,474.3
E,G,G,B,D,765.3
C,D,G,A,A,597.4
B,C,C,B,A,447.6
D,D,E,B,A,474.5
E,E,C,B,A,617.4
C,E,B,A,B,548
F,G,K,B,E,707.7
B,E,C,B,A,449.4
B,F,C,B,A,583.2
F,F,J,B,D,814.5
D,D,C,B,A,607.6
A,D,F,B,A,680.1
B,B,B,A,A,490.5
B,C,C,B,A,561.2
E,E,G,B,A,532.3
G,G,Q,B,D,791.2
F,E,Q,B,D,605.6
B,E,C,B,A,579.2
F,E,G,B,A,642.7
C,D,C,B,A,464.4
F,B,C,B,A,441.4
B,E,F,B,A,518.4
E,E,N,B,D,468.5
E,E,F,B,A,473.7
F,G,H,B,E,715.1
C,E,D,B,A,496.5
E,G,I,B,D,780.6
G,G,C,B,B,459.8
C,C,D,A,A,607.5
D,E,E,B,A,446.8
G,G,P,B,D,731.6
E,E,J,B,B,637.8
B,E,C,B,A,467.3
G,G,Q,B,D,903.8
E,E,C,B,A,569.8
C,D,C,B,A,565.9
E,E,C,A,A,487.9
F,G,O,B,D,753.4
E,E,E,B,B,476.7
C,F,G,B,A,497.9
E,E,J,B,C,591.1
G,F,H,B,D,724
D,E,E,B,A,547.8
E,C,G,B,C,579
E,E,C,B,C,516.2
C,C,B,B,A,672.3
B,E,E,B,A,591.8
D,F,G,B,A,429.6
F,F,Q,B,D,964.7
D,E,D,B,A,501.4
D,C,E,B,A,533.5
E,D,B,B,A,580.4
E,E,D,B,A,584.5
C,E,C,B,A,500.4
C,E,C,B,A,433.4
F,F,Q,B,D,661
E,E,B,B,A,487.9
G,G,P,B,D,668.5
G,F,G,B,D,594.3
F,E,M,B,D,951
E,F,K,B,D,606.8
D,E,F,B,A,575
E,F,E,B,A,601.1
E,F,E,B,A,445.8
E,E,F,B,B,682.4
E,E,G,B,C,644.3
E,D,C,B,A,588.3
G,E,I,B,A,836.6
G,E,L,B,D,823.4
G,E,M,B,D,439.5
F,F,P,B,A,811.3
E,E,F,B,D,654
B,D,O,B,C,516.2
F,F,G,B,D,763.2
G,E,P,B,D,796.7
E,E,H,B,A,527.2
F,G,N,B,D,722.8
D,D,C,B,A,564.3
E,E,F,B,A,411
G,G,F,B,B,826.2
E,F,N,B,D,787.9
F,F,E,B,D,773.5
F,F,K,B,E,629.4
E,E,E,A,B,441.3
E,G,N,B,D,720.6
E,E,I,B,A,512.7
G,E,Q,B,D,733.1
F,F,Q,B,D,677.6
B,C,D,B,A,445.5
G,F,Q,B,D,779.9
B,D,D,B,A,466.8
F,F,E,B,D,548.9
E,D,E,B,A,623.1
G,G,G,B,A,556.6
G,G,I,B,D,829.5
D,B,D,A,A,604.8
B,E,E,B,A,525.9
F,F,I,B,D,609.3
E,E,C,B,A,558.2
C,D,G,B,A,614.7
B,E,C,B,A,555.2
E,D,E,B,A,545.3
D,C,C,B,A,495.1
C,E,E,B,A,535.2
D,D,C,B,A,442.5
E,G,L,B,E,712.5
E,E,E,B,A,568.5
A,C,B,A,A,434.5
C,E,G,B,C,456
G,G,G,B,B,722
F,F,I,B,D,570.8
F,G,D,B,D,622.2
E,F,P,B,B,720.5
D,D,F,B,A,517.7
F,F,I,B,E,487
E,G,H,B,D,737
F,E,H,B,D,499.7
B,C,D,B,A,463.5
C,B,C,B,A,513.6
E,F,C,B,C,492.3
G,G,Q,B,D,990.4
G,F,P,B,D,592.1
E,E,F,B,A,565.5
F,F,L,B,D,580.6
F,F,H,B,D,805.2
E,C,K,B,A,644.6
E,E,E,B,A,535.6
E,A,B,A,A,496
E,E,I,B,D,576
G,G,O,B,D,662.2
E,G,K,B,D,842.3
C,B,E,A,A,493.8
C,C,C,B,A,441.3
F,E,J,B,D,555.7
E,E,K,B,D,643.3
C,E,F,B,A,685.8
E,E,D,B,D,546.5
G,G,Q,B,D,723.1
E,E,L,B,D,608.8
B,E,E,B,A,700.7
E,E,F,B,B,615.9
E,F,I,B,C,695.2
F,F,L,B,D,790
E,C,D,B,B,686.8
E,G,I,B,E,810.2
C,E,C,B,A,544.5
E,E,C,A,A,495.8
C,B,G,B,A,545.2
E,E,E,B,A,533.7
G,F,M,B,D,773.6
E,F,G,B,B,602.4
E,E,G,B,A,647
G,F,O,B,D,612.7
F,F,L,B,D,806.6
D,C,E,B,A,587.3
E,F,B,B,A,544.4
B,E,C,A,A,493.7
E,A,D,B,A,543
C,F,I,B,A,436.1
D,F,D,B,D,533.5
E,C,D,B,A,540.3
B,F,H,B,D,778.7
C,E,C,B,B,649.1
F,E,P,B,D,637.6
C,E,C,A,A,426.2
E,E,C,B,A,447.8
F,F,D,B,D,733.6
C,C,C,B,A,373.8
C,D,E,B,A,434.4
F,F,L,B,E,748.8
C,F,B,B,A,428.4
E,E,M,B,D,726.4
F,F,N,B,D,732.7
G,F,Q,B,D,684.6
C,C,J,B,B,752
E,E,I,B,D,684.8
F,G,I,B,D,782.9
B,D,C,A,A,494.6
F,E,H,B,D,554.1
G,E,E,B,A,483.6
C,E,E,B,A,566.9
C,E,B,B,A,538.3
E,F,N,B,D,653.9
D,D,D,B,A,547.7
E,E,F,B,A,514.5
G,E,J,B,D,669
F,F,M,B,D,566.1
E,E,B,A,C,619
C,C,F,B,C,682.4
F,G,M,B,D,434.9
G,G,Q,B,D,735.2
E,F,E,B,A,485.9
B,B,E,B,A,549.4
C,D,C,B,A,496.5
E,C,C,B,A,639.8
C,E,E,B,A,545.5
G,G,N,B,D,668.1
F,E,H,B,A,610.9
E,G,H,B,B,448.1
G,G,N,B,E,721.2
F,E,F,B,D,770.5
G,F,J,B,D,861.9
B,D,C,A,A,400.9
E,E,H,B,A,634.8
C,C,C,B,A,535.5
F,F,O,B,D,819.6
F,G,K,B,A,716.9
E,E,D,B,A,591.1
F,F,I,B,D,771.7
F,E,L,B,A,568.5
D,E,C,B,A,432.5
E,E,D,B,D,502.6
C,E,C,B,A,476.5
C,E,E,B,A,607.5
E,E,E,B,C,744.8
F,E,F,B,D,633.5
B,E,G,B,A,492.7
E,E,C,B,A,434.5
C,C,D,B,A,532.9
B,C,C,B,A,410
E,E,B,B,A,528.6
F,E,G,B,D,698.9
E,E,I,B,A,557.3
E,F,I,B,D,754.9
G,G,L,B,D,785.9
F,G,K,B,D,734.5
B,B,B,B,B,387.8
D,F,I,B,A,569.5
F,C,O,B,D,483.1
E,E,D,B,A,610.5
D,E,H,A,A,587.2
E,E,C,B,A,792.4
G,G,Q,B,D,414.5
C,E,E,B,A,547.4
F,F,G,B,B,617.6
F,G,N,B,D,746.3
E,E,J,B,A,444.4
E,D,E,B,A,577.6
G,F,I,B,D,456.9
D,D,E,B,A,630.2
E,E,D,B,A,490.9
D,D,D,B,A,690.9
D,D,C,B,A,480.3
D,E,D,B,B,533.9
F,F,F,B,D,764
C,C,C,B,A,634.3
F,E,G,B,D,621.8
C,E,D,B,A,503.6
C,E,J,B,D,716.9
E,E,C,B,A,610.7
E,E,I,B,D,679.1
E,E,D,B,A,534.1
C,C,E,B,A,376.5
E,F,G,B,B,627.9
E,E,B,B,A,542.7
E,F,H,B,D,818
B,E,C,B,A,505.8
F,F,I,B,D,808.3
G,G,E,B,D,690
B,C,D,B,D,729.7
E,E,D,B,B,414.7
F,E,H,B,A,488
B,F,I,B,A,806.6
G,F,L,B,D,603.4
C,C,C,A,A,412
B,E,G,B,D,443.3
E,C,C,B,A,379.8
G,G,Q,B,D,742.5
C,E,B,B,A,537.1
D,B,I,B,A,547.6
B,B,C,A,A,583.3
D,E,C,B,B,602.4
C,E,D,B,A,497.5
E,F,D,B,D,698.2
G,F,Q,B,D,791.6
E,F,I,B,B,516
E,D,H,A,D,484.8
G,F,N,B,B,669.4
E,E,Q,B,D,832.1
E,E,H,B,C,504.4
F,D,F,B,B,708.7
E,G,I,B,B,804.6
D,D,C,B,A,382.6
B,B,G,B,A,582.9
F,F,D,B,A,632.5
G,F,O,B,B,767.9
F,G,C,B,B,608.3
E,D,G,B,A,530
F,F,N,B,A,584
G,G,Q,B,D,757.9
C,E,C,B,A,515.5
B,C,D,B,A,553
F,F,H,B,D,719.6
E,D,H,B,A,463.7
G,G,Q,B,D,885
E,D,H,B,A,388
F,D,F,B,A,521.2
C,F,J,B,D,473
B,E,C,B,A,445.7
C,C,K,B,A,728.3
E,E,C,B,E,489.3
F,G,Q,B,D,760.7
D,E,J,B,A,464.3
G,F,L,B,D,692.2
F,G,Q,B,D,789.2
E,E,E,B,B,592.9
D,E,C,B,A,665.8
E,E,G,B,B,700.1
C,D,C,B,D,533.3
E,E,G,B,D,526
B,B,B,A,A,481.4
D,E,H,B,A,549.7
G,E,I,B,D,718.8
F,F,G,B,E,807.6
E,E,F,B,B,476.4
C,D,H,B,B,701.1
F,E,E,B,A,566.1
D,E,D,A,A,465.2
E,E,J,B,B,786.8
G,G,O,B,D,600.7
E,C,G,B,A,551.9
F,G,P,B,D,793.9
D,F,C,B,D,730.8
G,G,O,B,D,815.9
F,F,P,B,E,776.4
E,E,G,B,D,741.2
G,G,O,B,D,568.8
F,E,O,B,D,709.4
G,F,P,B,D,642.9
G,F,P,B,D,681.5
B,B,I,B,A,608
G,G,Q,B,D,781.2
F,F,I,B,A,678.8
F,E,G,B,A,741.7
C,C,B,A,A,665.6
B,E,C,B,A,392.1
A,E,C,B,A,429.6
D,E,C,B,A,520.9
F,G,Q,B,D,682.5
E,C,I,B,A,636.2
E,E,D,A,A,458.9
E,D,B,B,A,478.6
F,E,E,B,E,758.4
C,E,C,B,A,403.1
F,G,G,B,D,701.1
D,D,C,B,A,411
F,F,O,B,D,757.7
F,F,Q,B,D,781.2
B,E,I,B,A,461.8
E,G,O,B,E,786.7
E,E,C,B,A,557.3
E,E,D,B,E,529.2
D,E,C,B,B,370
E,E,F,B,D,682.8
B,E,E,B,A,634.8
E,D,G,B,D,614.4
E,F,J,B,D,695.3
F,G,N,B,D,827.9
F,F,O,B,D,881.5
F,F,M,B,D,836.8
E,G,I,B,A,512.8
E,F,N,B,D,866.3
E,E,K,B,D,538.8
F,F,G,B,E,782.5
D,B,D,B,A,407.4
E,D,G,B,A,559.3
F,F,N,B,D,900.3
G,F,M,B,D,586.8
F,F,P,B,D,717.6
C,D,C,B,A,504
C,E,G,B,A,662.2
F,F,Q,B,D,722.4
B,E,H,B,D,514.5
D,C,H,B,D,566.2
B,D,C,B,A,551.4
G,C,C,B,D,504.9
F,F,N,B,D,483.4
E,G,N,B,D,677.8
G,G,Q,B,D,904.1
D,F,C,B,B,624
B,B,E,B,A,453.4
F,G,I,B,D,750.7
F,F,L,B,D,493.3
E,G,L,B,D,517.5
E,G,I,B,D,574.5
E,G,N,B,E,893.5
F,F,M,B,D,715.9
F,E,E,B,A,643.5
F,D,H,B,D,530.9
D,E,E,A,B,402.4
D,F,H,B,E,786
E,E,C,B,B,529.8
G,G,H,B,D,616.3
C,G,J,B,D,390
C,C,B,B,C,419.4
D,E,C,B,A,517.1
G,F,K,B,D,792.7
G,F,J,B,E,469.8
E,E,H,B,A,597.9
G,G,P,B,D,787.6
G,D,G,B,D,602.8
E,E,F,B,A,479.6
F,E,G,B,A,663.8
E,E,E,B,A,458
E,E,G,B,A,691.9
E,E,D,B,A,546.6
F,F,H,B,D,571.1
E,F,G,B,E,659.4
G,G,I,B,E,698.8
D,F,G,B,B,543.2
D,D,D,B,A,659.5
E,E,C,B,A,445.8
C,D,D,B,A,552.1
E,C,G,B,A,645.5
C,D,C,B,A,448.7
E,E,J,B,D,754.4
F,F,Q,B,D,777.3
E,E,H,B,D,543.3
F,F,D,B,E,448.6
D,E,F,B,B,474.9
F,E,H,B,B,529.4
E,C,C,B,A,553.7
C,C,B,B,A,446.5
E,G,L,B,D,577.8
E,F,O,B,E,651.6
E,F,N,B,D,657.2
E,B,C,B,A,378.1
E,G,P,B,D,707.5
E,E,E,B,A,490.6
E,D,E,B,B,495.4
E,F,G,B,D,691.6
E,F,G,B,D,680.3
E,D,C,A,A,422.7
G,G,O,B,D,727.3
E,E,C,B,A,442.6
D,D,D,B,A,659.3
C,E,G,B,A,678.2
D,E,E,B,B,582.1
G,G,E,B,D,697
E,E,E,B,A,464.8
B,D,E,B,A,507.5
F,G,P,B,D,768.3
C,D,E,B,A,525.9
E,E,Q,B,D,766.1
A,C,B,B,A,538.4
F,F,O,B,D,713.3
E,F,Q,B,D,588.8
E,E,G,B,A,521
E,F,C,B,A,607.9
F,F,N,B,D,771.2
F,G,G,B,D,708.5
D,E,I,B,B,607
F,F,G,B,A,475.5
G,G,G,B,A,772
B,E,D,B,A,543
E,E,K,B,E,785.1
E,F,L,B,D,768.8
E,F,H,B,D,751.6
E,E,J,B,D,518.3
B,D,C,A,A,523.7
E,E,E,B,A,532.9
D,B,G,B,A,560.8
F,E,K,B,D,700.2
G,G,Q,B,D,629.9
G,G,F,B,B,431.3
E,E,B,B,D,632.4
F,E,I,B,E,781.8
E,G,G,B,A,825.9
E,E,C,B,A,588.9
E,E,E,B,A,555.2
G,G,J,B,D,465.6
E,E,B,B,A,544.4
F,E,I,B,A,618.9
G,G,L,B,E,852
E,E,D,A,A,461.2
G,F,Q,B,D,699.7
E,E,D,B,A,732.7
E,F,H,B,C,705.3
G,F,O,B,D,726.7
G,G,Q,B,D,877.8
D,E,G,B,A,425.7
E,E,M,B,D,739.2
E,E,M,B,D,602
E,G,Q,B,D,624.1
F,E,I,B,D,722.2
F,E,Q,B,D,716.8
G,G,P,B,E,675.1
E,E,J,B,D,871
C,E,B,B,A,505.2
F,F,N,B,D,781.7
F,F,I,B,D,562.7
E,E,D,B,A,514.3
D,D,D,B,A,770.9
E,G,J,B,D,656.9
E,F,H,B,D,607.8
D,E,E,B,B,478.4
B,E,B,B,A,526
G,G,P,B,D,681.9
F,F,J,B,D,828.3
G,G,Q,B,D,662.9
G,F,P,B,D,822.3
F,F,Q,B,E,861.8
F,D,H,B,A,535
F,F,M,B,D,836
F,A,C,B,D,835.6
G,F,Q,B,D,812.7
D,F,C,B,B,634.6
F,F,N,B,D,606
E,F,I,B,D,439.9
F,E,G,B,D,502
B,D,D,B,A,393.1
E,E,F,B,B,601.2
E,F,N,B,D,540.9
F,F,Q,B,D,859.6
G,F,N,B,D,735.7
F,F,K,B,D,668.7
E,E,G,B,C,688
D,F,G,B,B,763.8
F,G,J,B,D,575.8
F,F,Q,B,D,790.6
E,F,B,B,A,572.7
G,E,N,B,A,656.3
E,E,F,B,A,733.6
E,E,D,A,A,501.5
E,E,G,B,A,544.1
F,F,Q,B,D,774
B,B,C,A,A,484.4
G,G,H,B,D,825.8
F,F,C,B,A,494.5
F,E,H,B,C,494.4
F,E,I,B,D,822
E,F,I,B,E,616.9
G,G,Q,B,D,799.5
B,E,I,B,A,461.8
E,E,D,B,A,424.4
G,D,K,B,A,667.2
E,D,H,B,D,597.8
F,E,M,B,B,484.8
B,B,Q,B,D,776
E,E,C,B,A,436.2
G,E,C,B,D,757
F,E,I,B,D,769.2
C,D,D,B,A,608.2
E,G,O,B,D,815.4
D,D,B,A,A,503.4
B,E,C,B,A,504.7
F,F,H,B,D,648.5
D,C,C,B,A,494.2
F,G,H,B,D,695.5
F,F,P,B,D,739.7
C,D,B,B,A,469.5
E,C,C,A,A,455.2
F,G,O,B,D,844.9
E,E,H,B,E,740.7
D,C,G,B,A,371.7
E,E,B,B,A,531.7
E,E,E,B,A,410.5
E,E,H,B,D,647.9
D,B,D,B,A,628.6
B,E,C,B,A,419.5
C,F,D,B,C,521.5
F,E,L,B,D,689
C,E,I,B,E,693.7
D,D,F,B,A,479.9
A,E,H,B,D,557.1
F,G,D,B,D,846.8
F,F,I,B,B,473.7
G,F,Q,B,D,761.9
C,D,H,B,A,514.5
D,D,H,B,A,636.6
C,F,L,B,A,723.9
B,E,E,B,A,529.3
E,C,H,B,E,746.5
G,G,P,B,D,482.4
D,D,E,B,C,758.4
E,F,P,B,D,561.8
D,D,C,B,A,428.8
E,E,K,B,A,517.4
G,E,N,B,B,713.3
E,E,D,B,A,603.4
A,F,D,B,A,523.7
F,F,M,B,D,704.5
C,G,I,B,D,570.6
E,D,C,B,A,503.3
E,E,G,B,D,729.2
E,E,D,B,A,420.6
D,D,E,B,A,468.8
F,E,I,B,D,793.2
F,F,P,B,D,750.6
E,E,N,B,D,680.7
G,E,G,B,D,460.5
C,E,D,B,D,584.9
D,F,G,B,E,636.3
E,E,E,B,C,396.3
F,G,N,B,D,635.7
E,F,E,B,C,432.7
G,G,Q,B,D,652.5
F,E,D,B,E,559.8
G,G,P,B,D,705.3
B,E,E,B,A,683
F,E,H,B,B,629.2
G,F,P,B,D,753
F,F,K,B,D,449.3
E,E,D,B,A,605.4
E,E,I,B,D,460.8
B,C,E,B,A,492.6
E,E,D,B,A,651.5
E,F,G,B,A,581.1
E,E,G,B,B,696.2
F,F,C,B,B,484.1
D,C,C,B,A,620.2
F,F,P,B,D,451.1
E,F,E,B,A,443.7
G,F,Q,B,D,382
G,G,Q,B,D,684.7
A,B,B,A,A,450.5
B,D,D,A,A,502
E,E,C,B,A,534.4
E,E,D,A,A,456.6
D,D,C,B,A,471.4
E,E,G,B,D,554.5
B,B,D,B,A,555.3
F,D,F,B,B,635.8
F,G,F,B,D,805.7
E,E,G,B,D,624.7
C,C,F,B,A,635
G,E,J,B,D,621.4
E,E,E,A,A,473.8
G,G,K,B,D,665.9
E,D,F,B,A,519.1
E,F,E,B,A,623.8
G,G,L,B,D,567.3
E,G,K,B,A,625.7
B,E,B,B,B,512.8
D,D,H,B,A,468.5
F,F,Q,B,D,747.7
G,G,Q,B,D,837.7
G,E,J,B,D,702.9
E,E,E,B,A,417.5
E,F,C,B,A,497.4
D,E,D,B,E,568.3
E,F,J,B,D,584.4
F,F,K,B,A,684
B,B,C,B,A,581.2
E,D,J,B,D,568.6
E,F,F,B,C,428.8
E,G,G,B,C,496.1
E,E,G,B,D,752.5
D,E,F,B,A,555.3
F,E,I,B,B,588.2
C,E,C,A,A,466.8
G,G,H,A,E,702.1
G,F,N,B,E,781.7
C,E,C,B,A,482.3
C,E,D,B,A,506.6
G,F,Q,B,D,771
E,E,D,B,E,689.8
E,E,J,B,A,508.6
E,F,H,B,C,647.4
F,F,C,B,A,439
E,F,Q,B,D,745.5
G,F,K,B,E,689.6
E,B,B,B,A,402
F,F,Q,B,D,815.8
E,E,C,B,A,620.1
E,F,L,B,D,778.6
F,F,Q,B,D,725.9
F,F,I,B,E,746.4
F,F,N,B,D,735.1
F,F,P,B,D,946.1
F,E,J,B,D,682.9
C,E,C,B,A,632.9
G,E,P,B,D,839.8
F,F,I,B,A,460.2
C,E,C,B,A,477.7
C,C,C,B,A,671.7
C,D,H,B,A,760.2
G,G,Q,B,D,623.8
E,D,E,B,B,562.1
F,F,G,B,B,714.2
F,G,Q,B,D,892.7
G,D,Q,B,D,778.3
E,E,C,B,A,594.3
G,G,P,B,D,549.4
E,G,L,B,E,668.4
F,F,Q,B,D,685.9
D,E,F,B,B,407.6
G,F,O,B,B,782
C,E,D,B,D,692.2
F,F,G,B,C,484.9
E,E,E,B,A,492.8
G,G,Q,B,D,677.5
E,E,E,B,D,713.8
D,B,E,B,A,574.7
B,E,H,B,A,684.3
C,E,M,B,D,737.4
F,G,P,B,D,770.1
F,G,P,B,D,575.6
D,D,C,B,A,644.1
G,F,Q,B,D,736.6
E,C,E,B,A,701.3
E,G,J,B,D,840.8
E,E,E,B,A,449.7
F,G,P,B,D,793
B,E,G,B,A,563.2
C,C,B,B,A,536.3
E,G,E,B,D,660.8
E,F,F,B,D,513.4
E,B,B,B,A,511.8
C,E,D,B,A,442
G,F,N,B,D,681.4
G,G,N,B,D,436.5
C,E,E,B,A,566.9
C,E,F,B,A,467.5
D,D,B,B,A,490.4
E,E,G,B,A,592.3
B,B,C,B,A,392.1
F,F,Q,B,D,718.4
B,C,E,B,A,463.4
B,E,I,B,B,712
F,E,C,B,B,543
G,G,H,A,E,713.5
E,F,G,B,C,591.1
F,F,Q,B,D,823.7
C,E,C,B,A,587
E,E,I,B,D,487.8
D,E,C,B,B,632.3
F,E,L,B,D,736.1
F,F,I,B,D,753
G,F,K,B,A,756.4
G,G,N,B,B,664.7
D,E,D,B,A,737.8
F,F,P,B,D,808.5
E,D,G,A,A,491.7
A,B,D,B,A,474.2
G,F,Q,B,D,798.1
G,G,Q,B,D,749
E,E,E,B,A,553.7
E,E,D,B,A,469
E,F,J,B,D,799.5
G,F,Q,B,D,833.7
F,F,M,B,D,782.5
E,F,G,B,A,601.3
D,F,H,B,B,536.3
G,F,N,B,D,812.8
D,D,C,B,A,468.8
F,F,P,B,D,922.9
E,E,H,B,A,458.7
F,F,I,B,D,585.1
G,F,P,B,D,729.8
G,E,O,B,D,507.6
C,B,C,B,A,451.3
F,F,J,B,D,637.7
G,E,N,B,B,646.7
A,B,B,A,A,484.6
G,G,Q,B,D,705.8
F,F,J,B,D,704
D,D,E,A,A,535.5
C,E,E,B,A,531.4
G,G,Q,B,D,710.1
E,G,N,B,D,593.7
F,G,I,B,D,749.8
F,F,G,B,D,465.5
G,G,Q,B,D,709
B,E,E,B,A,567.5
G,G,P,B,D,895.9
F,E,P,B,D,740.7
E,G,I,B,D,669.8
B,E,C,A,A,609.8
G,F,Q,B,D,733.9
D,E,C,B,A,723.5
B,C,D,B,A,667.6
C,D,C,B,B,566.3
F,F,O,B,D,672.6
E,E,D,B,A,632.7
F,E,H,B,B,663.7
F,F,N,B,D,736.2
F,F,J,B,D,573
G,G,P,B,D,579.7
G,G,P,B,D,713.3
E,F,C,B,D,546.1
G,G,M,B,D,721.8
D,E,E,B,A,519.7
C,C,G,B,A,539
D,D,B,B,A,691
E,E,F,B,B,415.9
E,E,G,B,A,687.1
F,F,H,B,B,648.5
D,E,C,B,A,455.3
E,E,N,B,A,738.3
F,E,H,B,C,695
B,E,C,B,A,492.3
F,F,Q,B,D,791.3
D,E,D,B,A,553.2
E,E,E,B,A,616.9
C,E,E,B,A,533.4
F,D,G,B,A,481
B,A,B,A,A,477.9
D,F,I,B,B,692.1
C,E,C,B,A,754.1
F,F,O,B,D,737.7
F,E,N,B,E,691.6
F,F,P,B,D,733.4
G,F,O,B,D,814.6
G,F,N,B,D,807
G,F,Q,B,D,875.9
F,B,G,B,D,475
E,E,C,B,A,615
E,E,D,B,A,543.9
G,A,I,B,D,703.4
E,F,C,B,A,508.2
B,D,C,B,A,417.7
B,G,H,B,A,716.1
B,G,D,B,C,610.3
G,E,C,B,A,507.1
E,E,H,B,A,586.2
D,G,G,B,E,753.4
F,F,N,B,D,736.7
E,E,G,B,B,461.6
E,E,D,B,D,446.7
D,C,G,B,B,478.1
E,F,G,B,D,718.9
C,E,D,B,A,648.3
E,D,D,B,A,510.2
B,C,C,A,A,506
D,E,G,B,D,636.3
D,G,C,B,B,491.4
B,G,G,B,A,573.6
G,G,I,B,D,497.8
G,G,P,B,D,669.2
G,G,Q,B,D,889.8
C,D,C,B,A,538.4
E,B,C,B,A,527.9
G,G,Q,B,D,715.7
C,F,G,A,B,416.3
E,G,I,B,A,672.5
G,E,C,B,D,657.3
G,G,F,B,E,708.9
E,G,Q,B,D,817.1
F,D,H,B,D,523.8
F,F,H,B,B,687.6
F,E,L,B,A,574.9
E,E,C,B,A,448.3
D,C,C,B,A,461.2
E,G,G,B,D,854
C,C,C,B,A,447.1
F,E,P,B,D,682
E,F,L,B,E,649.4
B,D,F,B,A,677.9
D,B,G,B,A,627
E,F,B,B,D,568.6
C,D,E,B,A,606.2
A,B,C,B,A,599.1
E,D,D,A,A,505.2
E,E,D,A,B,523.9
F,F,Q,B,D,595.2
E,E,G,B,A,501.6
A,E,I,B,D,626
F,F,J,B,E,719.1
G,G,P,B,D,757
E,F,C,B,D,620.1
G,G,N,B,D,520.5
F,G,J,B,E,660.8
E,E,F,A,A,510
F,F,N,B,E,534.5
B,E,C,B,B,540.9
F,G,I,B,A,540.1
D,D,G,B,D,399.8
F,E,C,B,A,757.5
G,G,N,B,E,867.3
E,E,E,B,A,536.1
D,C,C,B,A,502.4
G,F,Q,B,D,795.8
E,E,D,B,A,584.9
E,F,C,A,A,515.3
G,G,Q,B,D,703.7
F,E,G,B,D,574.7
G,G,Q,B,D,721.7
